Company,Role,Location,Salary Range,Status,Date Applied,Follow Up Date,Response,Interview Stage,Days To Response,Response Type,Cover Letter Used,What Worked,Tags,Notes,Career Page URL,Remote Policy,Remote Likelihood Score,Remote Evidence,Submission Lane,Submitted Resume Path,Submission Evidence Path,Submission Verified At
Inferact,"Member of Technical Staff, Exceptional Generalist (Remote)",Remote (worldwide),,Draft,,,Submit blocked (possible spam),Initial,,,,,ai;agents;infra,"Attempted submit on 2026-02-18 via Ashby; blocked with error: possible spam flag. Evidence: applications/inferact/submissions/2026-02-18_inferact_mts-exceptional-generalist_after-submit_attempt1.png. Job page: https://jobs.ashbyhq.com/inferact/f0d2619d-28e0-4b25-8d30-3ac555071abb
Retry queued on 2026-02-19 for CI submit pipeline.
Queue gate demoted on 2026-02-19 (fit=3/70, remote=85/55; reasons=fit_score_below_threshold:3<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=3/70, remote=85/50; reasons=fit_score_below_threshold:3<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html).",https://jobs.ashbyhq.com/inferact/f0d2619d-28e0-4b25-8d30-3ac555071abb,remote,85,remote_keyword,ci_auto:ashby,,,
PaleBlueDot AI,AI Infrastructure Engineer (target; no posting found),Remote / US,,Applied,2026-03-02,,No public careers posting found,Initial,,,2026-02-18_palebluedot-ai_ai-infrastructure-target,,ai;infra;compute,"Company site reviewed on 2026-02-18; no careers/jobs link found. Job capture: applications/palebluedot-ai/jobs/2026-02-18_palebluedot-ai_site_watch_na.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=73/70, remote=88/55; reasons=unsupported_site_for_ci_submit).",https://palebluedot.ai/,remote,88,remote_keyword;remote_us_scope,manual,applications/palebluedot-ai/tailored_resumes/2026-02-18_palebluedot-ai_ai-infrastructure-target.docx,,
Flapping Airplanes,General inquiry (contact email),US,,Applied,2026-03-02,,No public jobs board (email contact only),Initial,,,2026-02-18_flapping-airplanes_general-inquiry,,ai;systems;infra,"Site reviewed on 2026-02-18; no jobs board found, contact path is mailto hi@flappingairplanes.com. Job capture: applications/flapping-airplanes/jobs/2026-02-18_flapping-airplanes_site_general-inquiry_na.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=70/70, remote=45/55; reasons=remote_likelihood_below_threshold:45<55,unsupported_site_for_ci_submit).",https://flappingairplanes.com/,remote,85,remote_keyword,manual,applications/flapping-airplanes/tailored_resumes/2026-02-18_flapping-airplanes_general-inquiry.docx,,
Coalition Technologies,Office Assistant,Worldwide,"$31,2k- $52k",Applied,2026-03-02,,,Initial,,,2026-02-18_coalition-technologies_office-assistant,,remote;operations;admin,Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.,https://remotive.com/remote-jobs/marketing/office-assistant-1680495,remote,90,remote_feed_source;remote_keyword,manual,applications/coalition-technologies/tailored_resumes/2026-02-18_coalition-technologies_office-assistant.docx,,
Mitre Media,Tech Lead Databricks Data Engineer,"USA, Canada, USA timezones",$160k - $180k,Applied,2026-03-02,,,Initial,,,2026-02-18_mitre-media_tech-lead-databricks-data-engineer,,remote;data-engineering;databricks,"Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/tech-lead-databricks-data-engineer-2069747,remote,90,remote_feed_source;remote_keyword,manual,applications/mitre-media/tailored_resumes/2026-02-18_mitre-media_tech-lead-databricks-data-engineer.docx,,
Mitre Media,Tech Lead Full-Stack Rails Engineer,"USA, Canada, USA timezones",$170k - $200k,Applied,2026-03-02,,,Initial,,,2026-02-18_mitre-media_tech-lead-full-stack-rails-engineer,,remote;rails;fullstack,"Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/tech-lead-full-stack-rails-engineer-2069746,remote,90,remote_feed_source;remote_keyword,manual,applications/mitre-media/tailored_resumes/2026-02-18_mitre-media_tech-lead-databricks-data-engineer.docx,,
nooro,iOS Developer,USA,$60k-$130k (depending on experience),Applied,2026-03-02,,,Initial,,,2026-02-18_nooro_ios-developer,,remote;ios;mobile,"Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/ios-developer-1956455,remote,90,remote_feed_source;remote_keyword,manual,applications/nooro/tailored_resumes/2026-02-18_nooro_ios-developer.docx,,
SKYCATCHFIRE,Senior Python Backend Developer,USA,$100k - $150k,Applied,2026-03-02,,,Initial,,,2026-02-18_skycatchfire_senior-python-backend-developer,,remote;python;backend,"Auto-synced from existing Ralph Loop draft artifacts on 2026-02-19. Not submitted; draft only.
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/senior-python-backend-developer-2088624,remote,90,remote_feed_source;remote_keyword,manual,applications/skycatchfire/tailored_resumes/2026-02-18_skycatchfire_senior-python-backend-developer.docx,,
TELUS Digital,Content Reviewer,USA,14$/hour,Draft,,,,Initial,,,2026-02-19_telus-digital_content-reviewer,,android;go;ios;social-media;ai-ml;diversity,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/telus-digital/jobs/2026-02-19_telus-digital_content-reviewer_33ac2248.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/all-others/content-reviewer-2088622,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Welo Data,AI Internet Rater,USA,$14.5/hour,Draft,,,,Initial,,,2026-02-19_welo-data_ai-internet-rater,,ai-ml;project-management;insurance,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/welo-data/jobs/2026-02-19_welo-data_ai-internet-rater_cfe4d59d.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/ai-ml/ai-internet-rater-2088618,remote,90,remote_feed_source;remote_keyword,manual,,,
BNSF Railway,"Product, Platform & Enterprise Full Stack Sr/Staff Software Engineer",USA,"$165,000 - $300,000",Draft,,,,Initial,,,2026-02-19_bnsf-railway_product-platform-enterprise-full-stack-sr-staff-software-enginee,,api;aws;azure;cloud;fullstack;git;kafka;node-js;react;security;sql;ai-ml;paas;agile;product-engineering;automation;ci-cd;spring;nosql;distributed-systems;angular;stem;gcp;platform-security;spring-boot;micro-services;serverless;testing;computer-science;infrastructure;grafana;travel;insurance;mental-health,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/bnsf-railway/jobs/2026-02-19_bnsf-railway_product-platform-enterprise-full-stack-sr-staff-software-enginee_a2394d3b.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/product-platform-enterprise-full-stack-sr-staff-software-engineer-2088612,remote,90,remote_feed_source;remote_keyword,manual,,,
BNSF Railway,"Product, Platform & Enterprise Front End Sr/Staff Software Engineer",USA,$165k - $300k,Draft,,,,Initial,,,2026-02-19_bnsf-railway_product-platform-enterprise-front-end-sr-staff-software-engineer,,api;aws;azure;cloud;fullstack;git;kafka;node-js;react;security;sql;ai-ml;paas;agile;product-engineering;automation;ci-cd;spring;nosql;distributed-systems;angular;stem;gcp;platform-security;spring-boot;micro-services;serverless;testing;computer-science;infrastructure;grafana;travel;insurance;mental-health,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/bnsf-railway/jobs/2026-02-19_bnsf-railway_product-platform-enterprise-front-end-sr-staff-software-engineer_54483bae.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/software-development/product-platform-enterprise-front-end-sr-staff-software-engineer-2088611,remote,90,remote_feed_source;remote_keyword,manual,,,
BNSF Railway,Sr/Staff AI Engineer,USA,$165k - $300k,Draft,,,,Initial,,,2026-02-19_bnsf-railway_sr-staff-ai-engineer,,aws;azure;cloud;data-science;hadoop;java;python;sql;open-source;ai-ml;automation;research;data-analysis;deep-learning;tensorflow;nosql;spark;angular;stem;etl;data-engineering;supply-chain;iot;r;computer-science;infrastructure;travel;pytorch;insurance;mental-health,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/bnsf-railway/jobs/2026-02-19_bnsf-railway_sr-staff-ai-engineer_c0a6b60a.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/ai-ml/sr-staff-ai-engineer-2088613,remote,90,remote_feed_source;remote_keyword,manual,,,
Ping Identity,Senior Manager Site Reliability Engineer,USA,,Draft,,,,Initial,,,2026-02-19_ping-identity_senior-manager-site-reliability-engineer,,manager;saas;devops;cloud;senior;operations;operational;reliability;engineer,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/ping-identity/jobs/2026-02-19_ping-identity_senior-manager-site-reliability-engineer_f44c00b8.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-manager-site-reliability-engineer-ping-identity-1130380,remote,90,remote_feed_source;remote_keyword,manual,,,
Ping Identity,Senior Site Reliability Engineer,USA,,Draft,,,,Initial,,,2026-02-19_ping-identity_senior-site-reliability-engineer,,design;software;devops;cloud;senior;operations;reliability;engineer;digital-nomad,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/ping-identity/jobs/2026-02-19_ping-identity_senior-site-reliability-engineer_6e45ff97.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=90/55; reasons=unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-site-reliability-engineer-ping-identity-1130376,remote,90,remote_feed_source;remote_keyword,manual,,,
Bounteous,Associate Director Adobe Target,Canada,,Draft,,,,Initial,,,2026-02-19_bounteous_associate-director-adobe-target,,director;design;security;training;consulting;consultancy;technical;support;testing;test;code;education;management;marketing;analytics;health;ecommerce;digital-nomad,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/bounteous/jobs/2026-02-19_bounteous_associate-director-adobe-target_4123ce52.md
Queue gate passed on 2026-02-19 (fit=70/70, track=general).
Queue gate demoted on 2026-02-19 (fit=74/70, remote=93/55; reasons=unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=93/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-associate-director-adobe-target-bounteous-1130374,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
FireMon,Enterprise Account Executive Pacific NW,"USA, Remote",,Draft,,,,Initial,,,2026-02-19_firemon_enterprise-account-executive-pacific-nw,,hr;system;security;technical;support;software;growth;banking;strategy;management;sales;executive,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/firemon/jobs/2026-02-19_firemon_enterprise-account-executive-pacific-nw_73479d31.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=non_technical_role,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-enterprise-account-executive-pacific-nw-firemon-1130373,remote,90,remote_feed_source;remote_keyword,manual,,,
Unison Infrastructure,Real Estate Counsel,United States,,Draft,,,,Initial,,,2026-02-19_unison-infrastructure_real-estate-counsel,,support;education;investment;management;senior;operations;telecom;health;non-tech,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Job capture: applications/unison-infrastructure/jobs/2026-02-19_unison-infrastructure_real-estate-counsel_33ed5b36.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=74/70, remote=90/50; reasons=non_technical_role,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-real-estate-counsel-unison-infrastructure-1130364,remote,90,remote_feed_source;remote_keyword,manual,,,
Clipboard Health,Client Support Specialist,"Europe, Canada, South Africa, Philippines, Jamaica",,Draft,,,,Initial,,,2026-02-19_clipboard-health_client-support-specialist,,documentation;zendesk;account-management;startup;linux-unix;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,voice-audio. Job capture: applications/clipboard-health/jobs/2026-02-19_clipboard-health_client-support-specialist_9fe6b968.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=20/70, remote=50/50; reasons=fit_score_below_threshold:20<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,non_technical_role,unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/customer-service/client-support-specialist-2086826,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Mex Digital FZE,QA Engineer,Dubai,,Draft,,,,Initial,,,2026-02-19_mex-digital-fze_qa-engineer,,cryptocurrency;technical;developer;testing;test;growth;qa;financial;fintech;api;reliability;engineer;digital-nomad;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,python. Job capture: applications/mex-digital-fze/jobs/2026-02-19_mex-digital-fze_qa-engineer_55f318e7.md
Queue gate passed on 2026-02-19 (fit=90/70, track=fde).
Queue gate demoted on 2026-02-19 (fit=94/70, remote=90/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=24/70, remote=90/50; reasons=fit_score_below_threshold:24<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-qa-engineer-mex-digital-fze-1130390,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
EasyLlama,Revenue Operations Manager,,,Draft,,,,Initial,,,2026-02-19_easyllama_revenue-operations-manager,,manager;saas;hr;training;ceo;support;lead;operations;operational;sales;health;non-tech;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,voice-audio. Job capture: applications/easyllama/jobs/2026-02-19_easyllama_revenue-operations-manager_c677a0b6.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=20/70, remote=50/50; reasons=fit_score_below_threshold:20<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,non_technical_role,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-revenue-operations-manager-easyllama-1130382,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
NMI,Content Manager,"Remote, US",,Draft,,,,Initial,,,2026-02-19_nmi_content-manager,,manager;embedded;technical;writer;support;fintech;strategy;lead;content;senior;marketing;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,voice-audio. Job capture: applications/nmi/jobs/2026-02-19_nmi_content-manager_36489a79.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=24/70, remote=93/50; reasons=fit_score_below_threshold:24<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,non_technical_role,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-content-manager-nmi-1130378,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
3Pillar,Senior Software Engineer Angular .net,Canada,,Draft,,,,Initial,,,2026-02-19_3pillar_senior-software-engineer-angular-net,,software;design;salesforce;architect;technical;growth;code;web;cloud;angular;api;management;lead;senior;junior;health;engineer;engineering;backend;digital-nomad;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,python. Job capture: applications/3pillar/jobs/2026-02-19_3pillar_senior-software-engineer-angular-net_9051aa34.md
Queue gate passed on 2026-02-19 (fit=90/70, track=fde).
Queue gate demoted on 2026-02-19 (fit=94/70, remote=90/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=24/70, remote=90/50; reasons=fit_score_below_threshold:24<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-software-engineer-angular-net-3pillar-1130366,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
BlastPoint,Technical Project Manager,Remote - US,,Draft,,,,Initial,,,2026-02-19_blastpoint_technical-project-manager,,manager;technical;growth;financial;analytics;forward-deployed;customer-facing;api-integration;voice-ai,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,voice-audio. Job capture: applications/blastpoint/jobs/2026-02-19_blastpoint_technical-project-manager_24da2448.md
Queue gate passed on 2026-02-19 (fit=90/70, track=fde).
Queue gate demoted on 2026-02-19 (fit=94/70, remote=93/55; reasons=unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=24/70, remote=93/50; reasons=fit_score_below_threshold:24<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-technical-project-manager-blastpoint-1130357,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Smartbug Media,HubSpot Solutions Architect,"Remote, United States",,Draft,,,,Initial,,,2026-02-19_smartbug-media_hubspot-solutions-architect,,architect;design;salesforce;system;consulting;technical;strategist;web;api;microsoft;leader;marketing;excel;sales;digital-nomad;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,python. Job capture: applications/smartbug-media/jobs/2026-02-19_smartbug-media_hubspot-solutions-architect_fb47cd87.md
Queue gate passed on 2026-02-19 (fit=90/70, track=fde).
Queue gate demoted on 2026-02-19 (fit=94/70, remote=93/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=24/70, remote=93/50; reasons=fit_score_below_threshold:24<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-hubspot-solutions-architect-smartbug-media-1130331,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Oowlish Technology,Senior Data Engineer,,,Draft,,,,Initial,,,2026-02-19_oowlish-technology_senior-data-engineer,,python;support;software;growth;api;management;senior;engineer;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,python. Job capture: applications/oowlish-technology/jobs/2026-02-19_oowlish-technology_senior-data-engineer_5c5e859a.md
Queue gate passed on 2026-02-19 (fit=90/70, track=fde).
Queue gate demoted on 2026-02-19 (fit=94/70, remote=90/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=24/70, remote=90/50; reasons=fit_score_below_threshold:24<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-data-engineer-oowlish-technology-1130284,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
StarCompliance,Principal Data Operations &amp; Migration Lead,"York, United Kingdom",,Draft,,,,Initial,,,2026-02-19_starcompliance_principal-data-operations-amp-migration-lead,,technical;support;software;financial;education;finance;leader;management;lead;senior;operations;operational;health;forward-deployed;customer-facing;api-integration;python-requested,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=fde; signals=customer-integration,python. Job capture: applications/starcompliance/jobs/2026-02-19_starcompliance_principal-data-operations-amp-migration-lead_5af07dd8.md
Queue gate passed on 2026-02-19 (fit=90/70, track=fde).
Queue gate demoted on 2026-02-19 (fit=94/70, remote=90/55; reasons=python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=24/70, remote=90/50; reasons=fit_score_below_threshold:24<70,missing_api_integration_signal,missing_cover_letter,missing_customer_facing_signal,missing_fde_competencies_block,missing_fde_headline,missing_resume_docx_or_pdf,missing_tailored_resume_html,python_requested_not_explicit_in_resume,unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-principal-data-operations-amp-migration-lead-starcompliance-1130283,remote,93,remote_feed_source;remote_keyword;remote_us_scope,manual,,,
Marketerx,Senior DevOps Engineer,USA,$130k - $150k,Draft,,,,Initial,,,2026-02-19_marketerx_senior-devops-engineer,,aws;cloud;docker;kubernetes;security;sre;ai-ml;ci-cd;terraform;startup;ansible;infrastructure,"Discovered by Ralph Loop CI on 2026-02-19; pending review and submission. Role track=general; signals=customer-integration. Job capture: applications/marketerx/jobs/2026-02-19_marketerx_senior-devops-engineer_807b6f2c.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submitted_resume_path,submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=0/70, remote=50/50; reasons=fit_score_below_threshold:0<70,missing_cover_letter,missing_resume_docx_or_pdf,missing_tailored_resume_html,unsupported_site_for_ci_submit).",https://remotive.com/remote-jobs/devops/senior-devops-engineer-2070150,remote,90,remote_feed_source;remote_keyword,manual,,,
Scale AI,"Applied AI Engineer, Enterprise GenAI",,,Rejected,,,Rejected (email 2026-02-19),Rejected,,Email,,,ai;enterprise;genai,Outcome captured from user-provided Gmail rejection screenshot on 2026-02-19. Prior submission artifacts are missing from repo history and require process backfill.,,,,,manual,,,
FormativGroup,Senior Technical Consultant Charles River Everywhere,,,Draft,,,,Initial,,,2026-02-20_formativgroup_senior-technical-consultant-charles-river-everywhere,,consultant;system;technical;support;management;senior;operations;operational;forward-deployed;customer-facing;api-integration,"Discovered by Ralph Loop CI on 2026-02-20; pending review and submission. Role track=fde; signals=customer-integration,fde-title; method=direct; lane=manual. Job capture: applications/formativgroup/jobs/2026-02-20_formativgroup_senior-technical-consultant-charles-river-everywhere_81a59ae3.md
Tracker normalized on 2026-03-16: downgraded unverified Applied row back to ReadyToSubmit (missing submission_evidence_path,submission_verified_at).
Queue gate demoted on 2026-03-17 (fit=94/70, remote=90/50; reasons=unsupported_site_for_ci_submit).",https://remoteOK.com/remote-jobs/remote-senior-technical-consultant-charles-river-everywhere-formativgroup-1130408,remote,90,remote_feed_source;remote_keyword,manual,,,
